player_id,player_name,team_code,player_role,base_minutes,base_usage,base_pir,availability_status,availability_impact,availability_source,availability_note,team_missing_minutes,team_missing_usage,role_missing_minutes,role_missing_usage,same_role_minutes_boost,cross_role_minutes_boost,minutes_penalty,net_minutes_delta,rotation_impact_score,collected_at
P011194,"PETRUSEV, FILIP",DUB,Forward,24.313333333333333,13.2,18.8,available,1.0,,,26.7125,11.0,0.0,0.0,0.0,0.4340852541192853,0.0,0.4340852541192853,0.017853794383847765,2026-07-06T11:58:42+00:00
P011196,"HALL, DONTA",OLY,Center,13.403333333333332,5.0,10.0,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P011199,"NEBO, JOSH",MIL,Center,20.439999999999998,8.4,11.4,available,1.0,,,46.11333333333333,23.6,0.0,0.0,0.0,3,0.0,3.0,0.1467710371819961,2026-07-06T11:58:42+00:00
P011201,"HAZER, SEHMUS",IST,Forward,9.113333333333333,4.6,1.6,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P011204,"GRANT, JERIAN",PAN,Guard,26.263333333333332,6.4,9.0,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P011205,"HALL, DEVON",ULK,Guard,24.126666666666665,8.0,10.8,available,1.0,TalkBasket,Milan brings back Devon Hall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P011209,"KALAITZAKIS, PANAGIOTIS",PAN,Forward,3.6566666666666663,1.4,1.0,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P011212,"OKOBO, ELIE",MCO,Guard,24.116666666666667,11.4,10.8,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P011217,"TAYLOR, KAMERON",PAM,Forward,22.32,10.0,12.4,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P011219,"SORKIN, ROMAN",TEL,Forward,23.816666666666666,13.6,13.6,available,1.0,,,16.303333333333335,8.2,0.0,0.0,0.0,0.22261736063002158,0.0,0.22261736063002158,0.009347125008958219,2026-07-06T11:58:42+00:00
P011226,"DIALLO, ALPHA",MCO,Forward,28.089999999999996,9.8,11.6,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P011231,"BLOSSOMGAME, JARON",MCO,Forward,20.92,6.4,6.2,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P011244,"DA SILVA, OSCAR",MUN,Forward,6.823333333333333,2.2,5.4,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P011247,"FELIZ, ANDRES",MAD,Guard,19.033333333333335,6.6,7.0,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P011284,"FARIED, KENNETH",PAN,Center,12.141666666666666,8.0,5.0,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P011286,"BACON, DWAYNE",DUB,Guard,26.7125,11.0,8.25,out,0.0,BasketStories,,26.7125,11.0,26.7125,11.0,7,0.0,14.691875,-7.691875,-0.28795039775386055,2026-07-06T11:58:42+00:00
P011816,"AKELE, NICOLA",VIR,Forward,12.930000000000001,3.6,6.6,available,1.0,,,36.10666666666667,16.6,0.0,0.0,0.0,0.2929772199560716,0.0,0.2929772199560716,0.022658717707352793,2026-07-06T11:58:42+00:00
P011823,"ODIASE, TAI",HTA,Forward,6.094444444444445,1.3333333333333333,1.6666666666666667,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P011836,"MIKE, ISIAHA",MUN,Forward,19.03,6.6,5.8,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P011927,"SLEVA, DUSTIN",ZAL,Forward,19.51111111111111,7.666666666666667,10.0,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P011981,"JONES, TYRIQUE",OLY,Forward,21.580000000000002,8.0,13.0,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P011982,"OJELEYE, SEMI",RED,Forward,15.483333333333334,5.4,5.4,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P011983,"BRAZDEIKIS, IGNAS",ZAL,Forward,16.423333333333336,8.0,7.0,available,1.0,TalkBasket,"Zalgiris parts ways with Wright, Brazdeikis and Birutis",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P011987,"EDWARDS, CARSEN",VIR,Guard,22.906666666666666,16.6,9.0,available,1.0,,,36.10666666666667,16.6,36.10666666666667,16.6,7,0.0,0.0,7.0,0.30558789289871946,2026-07-06T11:58:42+00:00
P012044,"DOS SANTOS, YAGO",RED,Guard,14.89,7.4,6.8,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
P012080,"LUWAWU-CABARROT, TIMOTHE",BAS,Forward,26.79,13.6,15.4,available,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-06T11:58:42+00:00
